id,doi,title,abstract
366225,10.1515/joc-2022-0272,Optical fiber signal strength based on Raman optical amplifiers schemes in dense wavelength multiplexed communication systems,"This study has clarified the optical fiber signal strength based on Raman fiber optic amplifiers schemes in dense wavelength multiplexed communication systems. The signal power with, without Amplification in various pumping configurations scheme is studied with propagation distance variations. The bidirectional pumping power configuration based various pump power is analyzed with propagation distance variations. Amplified forward signal power for various fiber types is investigated with propagation distance variations. These fibers are used such as single mode (SM)-28 fiber, non-zero dispersion shifted fiber (NZDSF), truewave reach fiber for the efficient employment in fiber systems. Amplified bidirectional signal power for various both pump power and fiber types are clarified with propagation distance variations. The pumping power configurations scheme variations are demonstrated with propagation distance variations. Forward/backward pumping power configuration direction variations are investigated and clarified with propagation distance variations for various pumping power values."
366228,10.1515/joc-2023-0033,Various RZ percentage duty cycle coding with NRZ modulation technique signature on the fiber system performance,This study has clarified various RZ Percentage Duty Cycle Coding with NRZ modulation Technique Signature on The Fiber System Performance. The total form lighted/electrical power after linear measured multimode fiber/FSO channel measured based different RZ percentage duty cycle coding with the assistance of NRZ modulation techniques is performed. The electrical/lighted form measured power after APD receiver with linear multimode fiber/FSO channel measured based different RZ percentage base band form duty cycle coding with the assistance of NRZ modulation techniques is demonstrated. The lighted based band form can be used for the modulation of the based band electrical signal form based on the RZ percentage duty cycle coding with the assistance of NRZ for both linear measured multimode fiber and FSO measured channel.
366244,10.1515/joc-2022-0117,High-speed passive optical networks performance signature in downstream direction based on the engagement of both nonlinear cross-phase modulation (XPM) and cross-gain modulation (XGM) techniques,"This work clarified the engagement of both nonlinear XPM/XGM in conventional band applications with the wide band traveling semiconductor optical amplifiers (WBTWSOAs) for passive optical network applications in downstream directions. The max. Q, total output power versus up/down wavelength conversion by using cascaded XPM with XGM at 10 Gbps are simulated. Besides, the max. Q Factor, conversion efficiency, and total optical power (TOP) variations are clarified in relation to bit rate variations for cascaded CPM&XGM and CPM, XGM stages. Moreover, the enhancement percentage ratio (EPR) in Q factor and TOP are analyzed and demonstrated versus bit rate variations for cascaded CPM&XGM stage over both CPM stage and XGM stage. The study emphasized the network reach can be extended to 80 km with available maximum data rates up to 250 Gb/s with power budget of 28.65 dB based on the cascaded CPM&XGM technique."
366250,10.1515/joc-2023-0024,The efficient employment of the space division multiplexing technique with OADMs for more flexibility and scalability in optical systems,The optical add drop multiplexers (OADMs) to be modeled and analyzed depends up on the simulation variables are demonstrated. Transmitted power per channel variations are studied against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. Received power from each channel variations are demonstrated against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The bit error rate variations are clarified against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The optical link map through fiber cable core is clarified. Total pulse broadening variations are illustrated against both fiber length and number of transmitted channels at receiver bandwidth of 40 GHz and temperature of 25 °C. The lighted signal/noise ratio variations are demonstrated against both receiver bandwidth and number of transmitted channels at transmission distance of 200 km and temperature of 25 °C. Channel capacity variations are also demonstrated against both receiver bandwidth and number of transmitted channels at transmission distance of 200 km and temperature of 25 °C.
366253,10.1515/joc-2023-0017,Simulative study of vertical cavity with distributed feedback optical sources coupling to fiber systems evaluation,"This paper has demonstrated the simulative study of vertical cavity with distributed feedback light sources coupling to the fiber systems. The simulative study of piezoresistive, capacitive and piezoelectric sensing for micro electro mechanical system has been clarified. The span against the diaphragm thickness for the square diaphragm, round diaphragm, a round bossed diaphragm and rectangular diaphragm is clarified. Acceleration against displacement for a capacitive accelerometer for step signal based on signal sided and double sided is reported. Besides, acceleration against max pulse time for a capacitive accelerometer is outlined. The frequency response plot for a piezoelectric accelerometer under longitudinal load and for thin film based piezoelectric accelerometer is demonstrated based on MEMSolver simulation software version 3.3."
366256,10.1515/joc-2022-0260,Performance signature of transceiver communication system based on the cascade uniform fiber Bragg grating devices,This paper presented the high performance signature of transceiver fiber system based on cascade uniform fiber Bragg grating devices. This model has a data rate of 20 Gb/s extended along optical fiber length of 10 km that amplified with an optical EDFA amplifiers at 5 m length. The presented study clarified max. Q of 20.33 compared to the previous models at the value of 8.66. The electrical visualizer measured the total power at the receiver that is 9.564 dBm at the previous model and 23.347 dBm at the presented model. Therefore the total power at the receiver increased by 2.44 times at the presented model and the max. Q also upgraded by 2.96 times at the presented model.
366269,10.1515/joc-2022-0124,Electro-optic power/signal quality optimization based on the interaction between electro-optic modulators and electrical filters,"This paper clarifies the effects of electrical filters with electro-optic modulators variations on the power/signal quality optimization and minimum data error rates reduction. The electro-optic modulators that are namely Mach Zehnder modulator, absorption modulator measured, single-drive Mach Zehnder modulator measured, and electro-absorption modulator. In addition to the filters are employed low pass (LP) Gaussian filter, LP Bessel filter, LP Butterworth filter, and LP Chebyshev filter. The hybrid combination between these modulators at the Tx. and the filters at the Rx. side give the chance to set the best candidate combinations from these devices for the power and signal quality optimization."
366271,10.1515/joc-2023-0022,Conventional arrayed waveguide grating (CAWG) devices for high stability and low insertion loss in near infrared wavelength band,"This study has presented the different suggested compounds based (CAWG) like silicon dioxide (SiO2), lithium niobate (LiNbO3) and gallium aluminum arsenide (Ga(1-x)Al(x)As) taking into consideration their operating wavelength range, their operating temperature range, their physical properties, and also their ability to be used in the manufacture of optical devices. The optimum performance was given in case of using the following materials such as SiO2, LiNbO3 and Ga(1-x)Al(x)As materials, so these materials have been used as a proposed materials based CAWG devices, which have been investigated for high stability and low insertion loss in near infrared wavelength band. The comparison between these proposed materials are clarified through the design parameters of CAWG device such as the order of diffraction (m), path length adjacent waveguides difference (ΔL), focal length (L

f
), free spectral range (FSR), max no. of I/O wavelength channels (N
max), and arrayed waveguides (P) number."
366275,10.1515/joc-2022-0104,Nonlinear wavelength conversion cross phase modulation in fiber systems based on directly modulated laser measured,This study has clarified the simulation of the nonlinear cross phase modulation (CPM) performance signature in optical fiber telecommunication systems. We have been clarified the max Q factor in relation to Cross phase shift modulation for the previous models and proposed model. The optimum optical power varied with spectral time and wavelength variation that is simulated for 90° cross phase shift modulation. Optimum total optical and electrical signal power is demonstrated for 90° Cross phase shift modulation. The max signal quality factor and min BER are assured for various degrees based on cross phase shift modulation. In addition to the optimum signal quality factor is emphasized for 90° Cross phase shift modulation.
366282,10.1515/joc-2022-0245,Optimization of the performance parameters of the Giga passive optical networks for high transmission data rates with various modulation schemes,"This article has demonstrated the performance parameters optimization of the Giga passive optical networks (PONs) can enhanced with high transmission data rates with various modulation schemes. These modulation schemes are Mach–Zehnder modulator (MZM), electroabsorption modulator (EAM), amplitude modulator (AM), dual drive MZM measured (DDMZMM), electroabsorption modulator measured (EAMM), and LiNb MZM. The network reach can be extended to 30 km with 20 Gb/s. Maxi Q and mini bit error rate can be measured at both PIN and APD receivers. The study has emphasized AM modulation scheme is the best candidate modulation scheme for upgrading the network performance efficiency. LiNb MZM is the worst modulation scheme for the estimation of PONs performance. Optical power signals after fiber optic channel based different modulation schemes are clarified. EAM modulation scheme is the best technique for upgrading optical power signal through the network reach."
366283,10.1515/joc-2022-0238,Mach–Zehnder electro-optic modulators chirping management in high speed data communication lightwave systems,This work demonstrates Mach–Zehnder electro-optic modulators chirping management in high speed data communication lightwave systems. The link with applied voltage on the modulators arms is clarified. We have analyzed the chirp in MZ lithium niobate modulators output. The resulted signal passed on the channel that consists of the loop control that we used not to lose too much power because we use an amplifier after a period of fiber reach cable. The resulted signal distance depends on the number of loops multiplied by the fiber reach cable. The next step is to receive the signal by photodetector pin with a responsivity of 1 A/W. The signal after that passed on low pass Gaussian filter with a cut of bandwidth of 0.75 × Bit rate.
366285,10.1515/joc-2023-0025,Optical differential phase shift keying transceiver systems performance efficiency at high data rate optical systems in the presence of Pr doped amplifiers,"This work has been clarified the optical differential phase shift keying transceiver systems performance efficiency at high data rate optical systems in the presence of pr doped amplifiers. The Max optical signal power variations after fiber link versus wavelength variations at various system data rates are demonstrated. The total optical power within optical fiber at data rates from 10 to 100 Gbps are indicated. The Max electrical signal power variations against frequency after receiver variations at various system data rates are clarified. The total electrical power after receiver at various system data rates are demonstrated. The light/electrical power received, OSNR and SNR variations in relation to data rate variations are also studied."
366307,10.1515/joc-2023-0014,Co-directional waveguide grating coupler transmission and reflection dispersion characteristics performance,"This paper reported the numerical estimation of co-directional waveguide grating coupler performance transmission characteristics. These dopant materials that are namely phosphorus dopant silica, fluorine dopant silica and boron dopant silica. Transmittivity/reflectivity and three dimension (3D) transmission mesh cross-section of pure silica waveguide grating coupler are outlined with grating dimensions. Coupling efficiency variations is clarified against the grating wavelength and the fill factor variations. Transmission and reflection dispersion of pure silica waveguide grating coupler is reported with grating dimensions. Transmission and reflection delay and dispersion spectrum of various materials-dopant based silica waveguide grating coupler are reported with grating wavelength. The output pulse intensity of pure silica waveguide grating coupler is demonstrated against the time span variations at the link length of 100 km."
366323,10.1515/joc-2023-0003,Simulative study of high speed light modulated measured sources for high optical network transmission efficiency,"This study reported the performance evaluation and simulation of passive optical networks for high transmission rates up to 10 Gb/s for possible distance up to 50 km. Laser rate equations, directly modulated laser measured and vertical cavity surface emitting laser (VCSEL) are employed for the measurement of the network performance. Different bit sequences are suggested to show the network performance parameters with various proposed optical sources. Optical and electrical powers are measured for 50 km network reach. In addition to max. Q factor is also measured for various optical sources and bits sequence variations. Laser rate equations are employed in this network to upgrade the Q factor criteria for maximum network reach of 100 km in the downstream direction."
366324,10.1515/joc-2022-0253,Hybrid Raman/EDFA optical fiber amplifiers configuration in amplified ultra wide band wavelength division multiplexed systems,This paper presented the hybrid Raman and erbium doped fiber amplifiers in amplified wavelength division multiplexed systems. Important role of singly and hybrid light amplifiers are clarified in the presented work. EDFA/RAMAN based average power model based Raman amplifiers are used for strength the signal power levels. CW laser with return to zero code are employed in amplified multiplexed systems. The optimum EDFA optical amplifiers length is used to strength the signal through the optical fiber channel. The max. signal quality and min. error rates are obtained with the presented model. By the assistance of multi pumped lasers for the flat gain in the hybrid EDFA/Raman light amplifiers.
366327,10.1515/joc-2023-0010,Noise multiplication and bandwidth of photodetectors employed with Taylor dispersion in micro optical fiber channel system,"This work has clarified the noise multiplication and bandwidth of photodetectors employed with Taylor dispersion in micro optical fiber channel system. The simulation performance evaluation of slide and squeeze film damping and fluidics mechanics. The damping ratio versus gap distance for a cantilever beam and a mass suspended from beams are determined. The damping ratio with gap size for a suspended mass with and without holes is reported. The damping ratio variations with the gap distance variations for a mass suspended from beams is clarified. The velocity field for fluid flow in a circular channel, a square channel, a rectangular channel, a parabolic channel and a triangular channel is estimated. Besides the velocity field for the fluid flow in a channel with and without slip is outlined. The spreading of a diffusion front in one dimension in a resting fluid and the dispersion coefficient in a square channel [Taylor dispersion in micro fluidic channels] are clarified. The 2D diffusion profile of a solute in a T mixer and normalized concentration versus the channel width for the solute at the outlet of H filter are determined."
366337,10.1515/joc-2023-0015,Study of the splicing/coupling influence of cabling to fibers test links measurements,"This article has analyzed the splicing and coupling influence of cabling to fibers test links measurements. The simulative study for different free/forced vibration mechanics in MEMS is performed. Relative amplitude frequency plot for a cantilever beam, a double clamped beam (DCB), a cantilever beam with end mass, normal vibration of a clamped beam mass, a double clamped beam with axial force, normal vibration of a clamped beam mass are demonstrated by using MEMSolver simulation version 3.3. The frequency shift for DCB with axial force is clarified. The lowest modal frequencies of a square and round diaphragm are also reported. The lowest modal frequency of a bent beam suspension is simulated also. The dependence of mid-section of the folded beam on the resonance frequency and on the short leg of the serpentine beam are clarified. The displacement plot for a structure under free vibration with damping, the displacement plot for vibration under a step force with damping, amplitude frequency plot for vibration under harmonic force with damping and amplitude frequency plot for the vibration driven by the base excitation are also outlined in this work."
366341,10.1515/joc-2022-0251,Simulative study on integrated optical multimode waveguides with guided beams based on the system standardization of elements,"This study has outlined simulative study on integrated optical multimode waveguides with guided beams based on the system standardization of elements. Deflection of a cantilever are clarified with a point force at the free end, due to the distributed weight at the beam, with a mass at the free end, and at the free end under acceleration. The bending of a double clamped beam under its distributed weight, deflection with the central mass double clamped beam under its weight, the buckling of a double clamped beam due to a compressive stress, out of plane deflection (OPD) of a bent beam suspension, OPD of a folded beam suspension, and OPD of a serpentine beam suspension are also clarified and reviewed. Dependence of cross section of beam on torsion constant is outlined. The stiffness ratio of lateral to vertical motion of hammock suspension is also clarified. The design of a crab-leg suspension and the dependence of the stiffness on thigh section of the crab leg flexure and the design of a folded flexure suspension and the dependence of stiffness on ratio of column beam lengths are also reported."
366349,10.1515/joc-2022-0250,Visible-light wireless communication system performance signature improvement for high bit rate transmission system,This paper deals with the visible-light communication (VLC) network system improvement for high bit rate transmission system. The previous model use the visualizer analyzer for the estimate of bit error rate in which the maxi. Q factor is reached to 2.51. The previous study is used free space channel over along length of 200 km by the optical wireless communication (OWC) channel with available data rates of 4 Gb/s. This presented model has a transmission rate of 10 Gb/s which has a maximum Q factor of 6.34 at the same operating parameters by using CW laser as an optical source and Mach–Zehnder modulator with two cascades optical wireless communication (OWC) channel.
366351,10.1515/joc-2023-0005,Performance evaluation of various distributors and exchange elements configurations in the optical fiber communication system under optimum operating conditions,This study reported the performance evaluation of various distributors and exchange elements configurations in the optical fiber communication system. The study of different diaphragm structures mechanics under different pressure levels effects. The stress along the x axis of a square diaphragm and the deflection of a square diaphragm under pressure are reported. The radial and tangential stress of a round diaphragm and the deflection of a round diaphragm under pressure are outlined. 3D for the bossed diaphragm deflection against diaphragm position is clarified. The stress distribution across the shorter side of a rectangular diaphragm and 3D for the rectangular diaphragm deflection against diaphragm position under pressure are demonstrated. The radial stress is larger than the tangential stress through the diaphragm radial position from 50 μm to 250 μm for a square diaphragm under pressure. The radial stress is larger than the tangential stress for the bossed diaphragm position varies from 125 μm to 250 μm. All the obtained results are demonstrated through the use of the MEMSolver simulation program software version 3.3.
366354,10.1515/joc-2022-0221,Ideal single mode laser operation with single drive conventional/phase shift Mach–Zehnder modulators measured in optical access networks,The work outlined ideal single mode laser operation with single measured drive phase shift/conventional Mach–Zehnder modulators (MZM) in optical access networks is simulated and analyzed. Maximum signal power level versus spectral wavelength and time domain spectrum after fiber channel based 1.5 splitting ratio conventional/phase shift MZM and Idea single mode laser is measured accurately. Maximum Q coefficient of 35.87 and mini bit error rates of 2.3279 × 10−282 in the case of conventional MZM and idea single mode laser. Maximum Q coefficient of 17.86 and mini error rate of 1.0376 × 10−71 in the case of phase shift MZM and Idea single mode laser.
366369,10.1515/joc-2022-0211,Single fiber grating profile multi scan parameters for the optimization of grating parameters by using OptiGrating simulation,"The paper reported the single fiber grating profile multi scan parameters for the optimization of the grating parameters by using OptiGrating program. The transmission/reflection spectrum of single grating fiber is reported versus variations of grating wavelength. Input–output pulse intensity of single grating fiber is clarified against the time span after the link length of 100 km. Fiber grating bandwidth, fiber grating side-lobes, fiber grating peak value and fiber grating pulse dispersion variations are clarified versus the scan parameter variations. The scan parameter can help the user in order to find the optimized grating parameters to meet the application requirements. As well as the optimized fiber grating amplitude/phase impulse response variations are outlined against the grating length variations."
366376,10.1515/joc-2023-0032,Efficient employment of optical DPSK transmitter with linear multimode fibers and FSO channel under various duty cycle coding effects,This study has demonstrated the efficient employment of optical DPSK transmitter with linear multimode fibers and FSO channel under various duty cycle coding effects. The light signal power form variations after linear multimode fiber versus spectral wavelength based various RZ-percentage duty cycle coding is clarified. The light signal power form variations after linear multimode fiber versus spectral wavelength based various NRZ duty cycle coding is also clarified. The light power signal form variations after FSO channel versus spectral wavelength based different RZ percentage duty cycle coding is analyzed. Moreover the light power signal form variations after FSO channel versus spectral wavelength based NRZ percentage duty cycle coding is investigated. The light signal power form variations after linear multimode fiber versus spectral wavelength based various RZ percentage duty cycle coding and NRZ modulation code are indicated.
366380,10.1515/joc-2023-0036,High stability with low polarization and confinement loss based new structure of photonic crystal fiber waveguide profile,"Nowadays ethanol is broadly used chemical item in various industrial purpose. So, detection of this organic chemical has become very important task in industrial basis. In this paper, a hexagonal core PCF has constructed in which silica is used as base material. A finite element method is applied and mesh analysis has been done for investigating boundary conditions of proposed PCF sensor. After simulation, 59.48 % sensitivity and an ignorable loss of confinement which is 8·956020 × 10−13 cm−1 at 2.5 THz frequency has been gained. Focusing on easy construction of fiber, conventional fabrication procedures are attainable. Having satisfactory waveguiding attributes, the proposed sensor can be applicable effectively for sensing ethanol and also polarization-based applications of terahertz waves."
366383,10.1515/joc-2022-0115,Grating index difference (GID) and order based distributed feedback laser effects on coarse wavelength division multiplexing optical fiber systems,"The study has outlined grating index difference (GID) and grating order based distributed feedback laser effects on coarse wavelength division multiplexing optical fiber systems. Signal amplitude level (SPL), noise signal level are measured accurately based on various grating order of distributed feedback laser. Max. signal power (MSP), noise signal power (NSP) are also measured along the variations of frequency spectrum related to spectral wavelength and bit period time versus GID variations. The optimum signal power level and minimum noise power level, maximum SPL, minimum SPL are achieved with 0.1% GID and grating order of unity."
366387,10.1515/joc-2022-0217,Multi-mode step graded index fibers performance parameters (attenuation/dispersion/mode field) measurements by using OptiFiber simulation,"This paper has clarified the positive and negative effects of 3.1% germania and 1% fluorine DS fibers in multi-mode silica profile. The group delay and the total fiber dispersion against operating wavelength for PS and various doped silica (DS) fibers are demonstrated and assured by using OptiFiber simulation. The material, waveguide and total fiber dispersions are demonstrated against wavelength for the PS fiber, 3.1% germania DS (GDS) fiber and 1% fluorine DS (FDS) fiber. Besides the mode field diameter, fiber material loss, fiber bending loss and the dispersion group delay are simulated and clarified against the operating wavelength for PS and different DS fibers. The study gives the effects of the dopant ratio of germania and fluorine on the zero dispersion wavelength shift and DS."
366388,10.1515/joc-2022-0234,Signal strength in FSO communication channels based on directly measured modulated laser with dual drive Mach–Zehnder modulators (MZMs) measured,The work clarified directly measured modulated laser with dual drive measured Mach–Zehnder modulators for signal strength in free space optics (FSO) channel. Peak power after free space communication channel at various propagation distances is measured in the optical time domain. As well as the signal level amplitude quality and data error rates after light detector at various propagation distances are also measured in the time bit period. The directly measured modulated laser with dual drive measured Mach–Zehnder modulators for signal strength in FSO communication channels is stimulated with optisystem program version 13. Peak signal power after free space communication channel at various propagation distances is measured in the optical time domain. The optimum peak signal power is achieved at 10 km distance with a value of 4.328 W. The signal level amplitude quality and data error rates after light detector at various propagation distances are also measured in the time bit period. The optimum Q level and BER level are clarified at 10 km distance with the values of 23.1164 for signal quality and 1.439 × 10−118 for minimum data error rates.
366396,10.1515/joc-2022-0100,Various coding techniques under bit sequence generators operation mode effects for upgrading transceiver systems efficiency,"This paper has outlined the simulation study of different operation mode for bit sequence generators variations effects on the transceiver systems efficiency with Manchester coding/decoding technique. The eye diagram signal analyzer after the light receiver is clarified in different mode operation of bit sequence generators. The different mode operation are namely probability, order, alternate, zeros, and ones modes. As well as the received signal amplitude after low pass Bessel filters is examined in different modes operation-based bit sequence generators. Available transmission data rates for this study are 10 Gb/s. The obtained results assured that the system coding performance efficiency is enhanced with alternate mode operation than other proposed modes operation-based bit sequence generators."
366406,10.1515/joc-2023-0028,Optical duobinary transmitter based OQPSK line coding phase offset for the prediction of OWC channel systems performance efficiency,This work demonstrates the optical duobinary transmitter based optical quadature phase shift keying line coding phase offset for the prediction of optical fiber wireless channel systems performance efficiency. The max signal light power variations with the spectral wavelength variations for different degree phase offsets based optical quadrature phase shift keying (OQPSK) transmitter are clarified. The max signal light power variations with the time variations for various degrees phase offset based OQPSK transmitter are demonstrated. The total power lighted after OWC channel for various degree phase offset based OQPSK transmitter are indicated. The max electrical power signal amplitude variations with the time variations for various degree phase offset based OQPSK transmitter are observed. Total electrical power signal after optical receiver for various degree phase offset based OQPSK transmitter is clarified. Total optical power variations after OWC channel for various degrees phase offset based OQPSK transmitter is studied.
366431,10.1515/joc-2023-0018,Performance evaluation simulation of the optical splitters integrated with unidirectional fiber elements,"This study has clarified the performance evaluation simulation of the optical splitters integrated with unidirectional fiber elements. The simulative performance evaluation of electrostatic, thermal, and piezoelectric actuation based micro electro mechanical systems. The force against the displacement based electrostatic and elastic forces for parallel plate actuator is simulated by MEMSover simulation software. The voltage with angular displacement for a torsion bar actuator is clarified. Besides the lateral displacement against voltage for a comb drive actuator is reported. The dependence of the film thickness on the deflection of a bimetallic cantilever, the dependence of passive beam length on deflection of a bimorph actuator and the transient response of a bent beam actuator are demonstrated. Moreover the piezoelectric actuator force against applied voltage and the piezoelectric actuator displacement against applied voltage variations are reported."
3781344,10.11591/ijeecs.v19.i2.pp847-854,Best candidate routing algorithms integrated with minimum processing time and low blocking probability for modern parallel computing systems,"This study has clarified the best candidate routing algorithms integrated with minimum processing times and low blocking probabilities for modern parallel computing systems. Different methods were employed, such as the fast window method (FWM), fast bitwise window method (FBWM), and fast improved window method (FIWM), to upgrade the processing time and reduce the network delay time. In addition, different algorithms were studied such as the fast window ascending, the fast window descending, the fast window sequential algorithm, and the fast window sequential down algorithms; these were studied to show the numerical results of the networks’ blocking probabilities, processing times, and delay times."
3781488,10.11591/ijeecs.v20.i3.pp1406-1412,Laser measured rate equations with various transmission coders  for optimum of data transmission error rates,"The present study has outlined laser-measured rate equations with various transmission coders for optimum data transmission error rates. Various modulation transmission coders are employed, such as a pulse position modulation coder, a differential pulse intensity modulation coder, and a four band/five band modulation transmission coder, in order to create optimized data rates of up to 40 GB/s for a fiber extension length of up to 100 km. This study has emphasized the important role of pulse position modulation transmission coders, which exhibit superior performance in max. Q parameter and min. data error rates, even for high data rate transmission.  "
3781496,10.11591/ijeecs.v18.i2.pp843-847,Influence of device to device interconnection elements on the system behavior and stability,"This work has presented the<strong> </strong>interaction between tangential/sagittal cylindrical thin lens in the titled plane parallel crystal. Stability criterion parameters are measured under the control of curvature radius of a spherical mirror, the thickness of the tilted plane crystal, the refractive index of tilted plane crystal, the thickness for a plate of matter and phase angle of the sagittal cylindrical thin lens. Beam radius waist is plotted against the focal length of the tangential cylindrical thin lens. Focal length for both thin lens in resonator crystal is optimized to upgrade the resonator system operation efficiency."
